deck_id,deck_name,archetype,tier,type,prize_plan,pilot_complexity,n_cards,legal,issues,key_card_ids,strategy,counters
D018,Marnie's Grimmsnarl ex [Froslass2],Marnie's Grimmsnarl ex,A,Dark,multi,4,60,True,,646|647|648,"Self energy accel across Marnie's Pokemon; spread with Froslass + Munkidori shadow, then Shadow-bolt finish.",Board-wide spread answered by heal (Fennel/Lana's Aid); benches die to counter-spread.
D019,Marnie's Grimmsnarl ex [Morpeko],Marnie's Grimmsnarl ex,A,Dark,multi,4,60,True,,646|647|648,"Self energy accel across Marnie's Pokemon; spread with Froslass + Munkidori shadow, then Shadow-bolt finish.",Board-wide spread answered by heal (Fennel/Lana's Aid); benches die to counter-spread.
D020,Marnie's Grimmsnarl ex [draw],Marnie's Grimmsnarl ex,A,Dark,multi,4,60,True,,646|647|648,"Self energy accel across Marnie's Pokemon; spread with Froslass + Munkidori shadow, then Shadow-bolt finish.",Board-wide spread answered by heal (Fennel/Lana's Aid); benches die to counter-spread.
D021,Ceruledge ex,Ceruledge ex,A,Fire,multi,3,60,True,,319|320|675,"Abyssal Flames; Lunatone fuels discard+draw, Solrock snipes basics / softened targets. Consistent one-prize-trade pressure.",Discard fuel disrupted by Jamming Tower; two-prize give-back to snipers.
D022,Ceruledge ex [Lun2],Ceruledge ex,A,Fire,multi,3,60,True,,319|320|675,"Abyssal Flames; Lunatone fuels discard+draw, Solrock snipes basics / softened targets. Consistent one-prize-trade pressure.",Discard fuel disrupted by Jamming Tower; two-prize give-back to snipers.
D023,Ceruledge ex [lean],Ceruledge ex,A,Fire,multi,3,60,True,,319|320|675,"Abyssal Flames; Lunatone fuels discard+draw, Solrock snipes basics / softened targets. Consistent one-prize-trade pressure.",Discard fuel disrupted by Jamming Tower; two-prize give-back to snipers.
D024,Ceruledge ex [charc],Ceruledge ex,A,Fire,multi,3,60,True,,319|320|675,"Abyssal Flames; Lunatone fuels discard+draw, Solrock snipes basics / softened targets. Consistent one-prize-trade pressure.",Discard fuel disrupted by Jamming Tower; two-prize give-back to snipers.
D025,Teal Mask Ogerpon + Meganium,Teal Mask Ogerpon + Meganium,A,Grass,multi,3,60,True,,96|710|922,Meganium doubles Ogerpon's attack; Forest of Vitality accelerates; fast Grass beatdown.,Relies on Meganium sticking; weak to bench-snipe removing Meganium.
D026,Teal Mask Ogerpon + Meganium [MegaMega],Teal Mask Ogerpon + Meganium,A,Grass,multi,3,60,True,,96|710|922,Meganium doubles Ogerpon's attack; Forest of Vitality accelerates; fast Grass beatdown.,Relies on Meganium sticking; weak to bench-snipe removing Meganium.
D027,Teal Mask Ogerpon + Meganium [Wellspring],Teal Mask Ogerpon + Meganium,A,Grass,multi,3,60,True,,96|710|922,Meganium doubles Ogerpon's attack; Forest of Vitality accelerates; fast Grass beatdown.,Relies on Meganium sticking; weak to bench-snipe removing Meganium.
D028,Teal Mask Ogerpon + Meganium [lean],Teal Mask Ogerpon + Meganium,A,Grass,multi,3,60,True,,96|710|922,Meganium doubles Ogerpon's attack; Forest of Vitality accelerates; fast Grass beatdown.,Relies on Meganium sticking; weak to bench-snipe removing Meganium.
D029,Hydrapple ex,Hydrapple ex,A,Grass,multi,4,60,True,,346|347|150,Meganium/Forest of Vitality drops Stage 2 fast; Hydrapple ex tanky attacker with big single-attack turns.,Slow start vs aggro; energy-heavy attacks vulnerable to hammers.
D030,Hydrapple ex [Dipplin2],Hydrapple ex,A,Grass,multi,4,60,True,,346|347|150,Meganium/Forest of Vitality drops Stage 2 fast; Hydrapple ex tanky attacker with big single-attack turns.,Slow start vs aggro; energy-heavy attacks vulnerable to hammers.
D031,Hydrapple ex [lean],Hydrapple ex,A,Grass,multi,4,60,True,,346|347|150,Meganium/Forest of Vitality drops Stage 2 fast; Hydrapple ex tanky attacker with big single-attack turns.,Slow start vs aggro; energy-heavy attacks vulnerable to hammers.
D032,Hydrapple ex [candy4],Hydrapple ex,A,Grass,multi,4,60,True,,346|347|150,Meganium/Forest of Vitality drops Stage 2 fast; Hydrapple ex tanky attacker with big single-attack turns.,Slow start vs aggro; energy-heavy attacks vulnerable to hammers.
D033,N's Zoroark ex,N's Zoroark ex,A,Dark,multi,4,60,True,,291|293|906,Night Joker copies N's Zekrom's Rampaging Thunder for immediate big damage; N's Castle support.,Reliant on copy targets on bench; ability-lock (Klefki) hurts.
D034,N's Zoroark ex [Zekrom2],N's Zoroark ex,A,Dark,multi,4,60,True,,291|293|906,Night Joker copies N's Zekrom's Rampaging Thunder for immediate big damage; N's Castle support.,Reliant on copy targets on bench; ability-lock (Klefki) hurts.
D035,N's Zoroark ex [castle],N's Zoroark ex,A,Dark,multi,4,60,True,,291|293|906,Night Joker copies N's Zekrom's Rampaging Thunder for immediate big damage; N's Castle support.,Reliant on copy targets on bench; ability-lock (Klefki) hurts.
D036,N's Zoroark ex [lean],N's Zoroark ex,A,Dark,multi,4,60,True,,291|293|906,Night Joker copies N's Zekrom's Rampaging Thunder for immediate big damage; N's Castle support.,Reliant on copy targets on bench; ability-lock (Klefki) hurts.
D037,Iono's Bellibolt ex,Iono's Bellibolt ex,A,Lightning,multi,2,60,True,,269|271|270,"AI-ladder standout (simple+consistent). Stream Lightning via Electric Streamer, Thunderous Bolt ~230; Iono's Kilowattrel is a non-ex answer to ex-immune walls (Crustle).",Few; struggles vs pure heal walls. Great baseline / low-variance deck.
D038,Iono's Bellibolt ex [wattrel3],Iono's Bellibolt ex,A,Lightning,multi,2,60,True,,269|271|270,"AI-ladder standout (simple+consistent). Stream Lightning via Electric Streamer, Thunderous Bolt ~230; Iono's Kilowattrel is a non-ex answer to ex-immune walls (Crustle).",Few; struggles vs pure heal walls. Great baseline / low-variance deck.
D039,Iono's Bellibolt ex [draw],Iono's Bellibolt ex,A,Lightning,multi,2,60,True,,269|271|270,"AI-ladder standout (simple+consistent). Stream Lightning via Electric Streamer, Thunderous Bolt ~230; Iono's Kilowattrel is a non-ex answer to ex-immune walls (Crustle).",Few; struggles vs pure heal walls. Great baseline / low-variance deck.
D040,Iono's Bellibolt ex [gust],Iono's Bellibolt ex,A,Lightning,multi,2,60,True,,269|271|270,"AI-ladder standout (simple+consistent). Stream Lightning via Electric Streamer, Thunderous Bolt ~230; Iono's Kilowattrel is a non-ex answer to ex-immune walls (Crustle).",Few; struggles vs pure heal walls. Great baseline / low-variance deck.
D041,Ethan's Typhlosion,Ethan's Typhlosion,B,Fire,multi,3,60,True,,352|353|354,Buddy Blast scales with Ethan's Adventure fuel in discard; Dudunsparce draw engine; Ho-Oh ex backup; Boss gust.,Discard-dependent; slow vs turn-2 aggro.
D042,Ethan's Typhlosion [HoOh2],Ethan's Typhlosion,B,Fire,multi,3,60,True,,352|353|354,Buddy Blast scales with Ethan's Adventure fuel in discard; Dudunsparce draw engine; Ho-Oh ex backup; Boss gust.,Discard-dependent; slow vs turn-2 aggro.
D043,Ethan's Typhlosion [lean],Ethan's Typhlosion,B,Fire,multi,3,60,True,,352|353|354,Buddy Blast scales with Ethan's Adventure fuel in discard; Dudunsparce draw engine; Ho-Oh ex backup; Boss gust.,Discard-dependent; slow vs turn-2 aggro.
D044,Ethan's Typhlosion [dunsparce],Ethan's Typhlosion,B,Fire,multi,3,60,True,,352|353|354,Buddy Blast scales with Ethan's Adventure fuel in discard; Dudunsparce draw engine; Ho-Oh ex backup; Boss gust.,Discard-dependent; slow vs turn-2 aggro.
D045,Mega Gardevoir ex,Mega Gardevoir ex,B,Psychic,multi,4,60,True,,745|746|747,Energy acceleration into a 360-HP Mega tank; Kirlia line to power up big attacks.,Ability lock and energy hammers; slow evolution setup.
D046,Mega Gardevoir ex [kirlia3],Mega Gardevoir ex,B,Psychic,multi,4,60,True,,745|746|747,Energy acceleration into a 360-HP Mega tank; Kirlia line to power up big attacks.,Ability lock and energy hammers; slow evolution setup.
D047,Mega Gardevoir ex [lean],Mega Gardevoir ex,B,Psychic,multi,4,60,True,,745|746|747,Energy acceleration into a 360-HP Mega tank; Kirlia line to power up big attacks.,Ability lock and energy hammers; slow evolution setup.
D048,Mega Gardevoir ex [candy],Mega Gardevoir ex,B,Psychic,multi,4,60,True,,745|746|747,Energy acceleration into a 360-HP Mega tank; Kirlia line to power up big attacks.,Ability lock and energy hammers; slow evolution setup.
D049,Cynthia's Garchomp ex,Cynthia's Garchomp ex,B,Fighting,multi,4,60,True,,379|380|381,Cynthia's toolbox; Garchomp ex hits hard with Roserade/Milotic support and Spiritomb.,Multi-line consistency risk; weak setup vs disruption (Judge/Unfair Stamp).
D050,Cynthia's Garchomp ex [roserade2],Cynthia's Garchomp ex,B,Fighting,multi,4,60,True,,379|380|381,Cynthia's toolbox; Garchomp ex hits hard with Roserade/Milotic support and Spiritomb.,Multi-line consistency risk; weak setup vs disruption (Judge/Unfair Stamp).
D051,Cynthia's Garchomp ex [milotic],Cynthia's Garchomp ex,B,Fighting,multi,4,60,True,,379|380|381,Cynthia's toolbox; Garchomp ex hits hard with Roserade/Milotic support and Spiritomb.,Multi-line consistency risk; weak setup vs disruption (Judge/Unfair Stamp).
D052,Cynthia's Garchomp ex [lean],Cynthia's Garchomp ex,B,Fighting,multi,4,60,True,,379|380|381,Cynthia's toolbox; Garchomp ex hits hard with Roserade/Milotic support and Spiritomb.,Multi-line consistency risk; weak setup vs disruption (Judge/Unfair Stamp).
D053,Mega Lucario ex,Mega Lucario ex,B,Fighting,multi,3,60,True,,678|478,Fighting beatdown; Fighting Gong/Gravity support; hits weakness on Lightning & Dark ex.,Struggled post-rotation; needs favorable weakness spread.
D054,Mega Lucario ex [gong],Mega Lucario ex,B,Fighting,multi,3,60,True,,678|478,Fighting beatdown; Fighting Gong/Gravity support; hits weakness on Lightning & Dark ex.,Struggled post-rotation; needs favorable weakness spread.
D055,Mega Lucario ex [lean],Mega Lucario ex,B,Fighting,multi,3,60,True,,678|478,Fighting beatdown; Fighting Gong/Gravity support; hits weakness on Lightning & Dark ex.,Struggled post-rotation; needs favorable weakness spread.
D056,Mega Lucario ex [squawk],Mega Lucario ex,B,Fighting,multi,3,60,True,,678|478,Fighting beatdown; Fighting Gong/Gravity support; hits weakness on Lightning & Dark ex.,Struggled post-rotation; needs favorable weakness spread.
D057,Team Rocket's Mewtwo ex,Team Rocket's Mewtwo ex,B,Psychic,multi,3,60,True,,431|478,"Team Rocket's engine (Watchtower/Factory, TR energy); Mewtwo ex hitter with TR support toolbox.",Underperformed post-rotation; consistency of TR package.
D058,Team Rocket's Mewtwo ex [watchtower],Team Rocket's Mewtwo ex,B,Psychic,multi,3,60,True,,431|478,"Team Rocket's engine (Watchtower/Factory, TR energy); Mewtwo ex hitter with TR support toolbox.",Underperformed post-rotation; consistency of TR package.
D059,Team Rocket's Mewtwo ex [lean],Team Rocket's Mewtwo ex,B,Psychic,multi,3,60,True,,431|478,"Team Rocket's engine (Watchtower/Factory, TR energy); Mewtwo ex hitter with TR support toolbox.",Underperformed post-rotation; consistency of TR package.
D060,Team Rocket's Mewtwo ex [bother],Team Rocket's Mewtwo ex,B,Psychic,multi,3,60,True,,431|478,"Team Rocket's engine (Watchtower/Factory, TR energy); Mewtwo ex hitter with TR support toolbox.",Underperformed post-rotation; consistency of TR package.
D061,Crustle single-prize wall,Crustle single-prize wall,A,Fighting,single,2,60,True,,344|345|532,AI-ladder-warping wall: immune to ex/Mega-ex attacks. All single-prize; grinds ex decks that can't damage it. The reason non-ex attackers are mandatory tech.,Non-ex attackers (e.g. Iono's Kilowattrel) and mill/deckout lines beat it.
D062,Crustle single-prize wall [bothID],Crustle single-prize wall,A,Fighting,single,2,60,True,,344|345|532,AI-ladder-warping wall: immune to ex/Mega-ex attacks. All single-prize; grinds ex decks that can't damage it. The reason non-ex attackers are mandatory tech.,Non-ex attackers (e.g. Iono's Kilowattrel) and mill/deckout lines beat it.
D063,Crustle single-prize wall [draw],Crustle single-prize wall,A,Fighting,single,2,60,True,,344|345|532,AI-ladder-warping wall: immune to ex/Mega-ex attacks. All single-prize; grinds ex decks that can't damage it. The reason non-ex attackers are mandatory tech.,Non-ex attackers (e.g. Iono's Kilowattrel) and mill/deckout lines beat it.
D064,Crustle single-prize wall [lean],Crustle single-prize wall,A,Fighting,single,2,60,True,,344|345|532,AI-ladder-warping wall: immune to ex/Mega-ex attacks. All single-prize; grinds ex decks that can't damage it. The reason non-ex attackers are mandatory tech.,Non-ex attackers (e.g. Iono's Kilowattrel) and mill/deckout lines beat it.
D065,Reuniclus single-prize control,Reuniclus single-prize control,B,Psychic,single,5,60,True,,518|519|520,Damage-counter manipulation / control shell; all single-prize; grind games and win on prize trade.,Slow; loses to fast OHKO ex and to deckout races if too passive.
D066,Reuniclus single-prize control [dudun],Reuniclus single-prize control,B,Psychic,single,5,60,True,,518|519|520,Damage-counter manipulation / control shell; all single-prize; grind games and win on prize trade.,Slow; loses to fast OHKO ex and to deckout races if too passive.
D067,Reuniclus single-prize control [draw],Reuniclus single-prize control,B,Psychic,single,5,60,True,,518|519|520,Damage-counter manipulation / control shell; all single-prize; grind games and win on prize trade.,Slow; loses to fast OHKO ex and to deckout races if too passive.
D068,Reuniclus single-prize control [lean],Reuniclus single-prize control,B,Psychic,single,5,60,True,,518|519|520,Damage-counter manipulation / control shell; all single-prize; grind games and win on prize trade.,Slow; loses to fast OHKO ex and to deckout races if too passive.
D069,Mega Manectric ex,Mega Manectric ex,B,Lightning,multi,3,60,True,,736|737,Electrike->Mega Manectric ex finisher; Lightning tempo with acceleration.,Evolution setup risk; weakness lines.
D070,Mega Manectric ex [electrike4],Mega Manectric ex,B,Lightning,multi,3,60,True,,736|737,Electrike->Mega Manectric ex finisher; Lightning tempo with acceleration.,Evolution setup risk; weakness lines.
D071,Mega Manectric ex [lean],Mega Manectric ex,B,Lightning,multi,3,60,True,,736|737,Electrike->Mega Manectric ex finisher; Lightning tempo with acceleration.,Evolution setup risk; weakness lines.
D072,Mega Manectric ex [gust],Mega Manectric ex,B,Lightning,multi,3,60,True,,736|737,Electrike->Mega Manectric ex finisher; Lightning tempo with acceleration.,Evolution setup risk; weakness lines.
